st1;st2;chi2;chi2error;offset
17;16;133.319668347;0.328952519087;2
17;16;134.307455013;0.330120223314;3
17;16;135.685900745;0.331755009232;4
17;16;137.448729032;0.33385687684;5
17;16;139.55651562;0.336347979191;6
17;16;141.952060484;0.339111545861;7
17;16;144.583822703;0.342069729902;8
17;16;147.385663305;0.345144684366;9
17;16;150.296332505;0.348258562304;10
18;10;271.136253868;0.462687609092;0
18;10;269.364093694;0.462687609092;1
18;10;265.082434742;0.462687609092;2
18;10;260.654137145;0.462687609092;3
18;10;259.078489562;0.462687609092;4
18;10;263.484891176;0.462687609092;5
18;10;275.930313956;0.462687609092;6
18;10;297.171603674;0.462687609092;7
18;10;327.163829103;0.462687609092;8
18;10;365.030255571;0.468220633426;9
18;10;409.675482545;0.486971766697;10
18;11;134.480987109;0.308801979511;0
18;11;134.113628765;0.308801979511;1
18;11;133.61312434;0.308801979511;2
18;11;134.301004176;0.308801979511;3
18;11;137.826203267;0.308801979511;4
18;11;145.912322642;0.308801979511;5
18;11;159.579541733;0.308801979511;6
18;11;179.066850427;0.309892407522;7
18;11;204.184578297;0.32180198271;8
18;11;234.232957621;0.348060894322;9
18;11;268.406001002;0.384944136642;10
18;12;78.1930303535;0.226186987436;0
18;12;78.4930697591;0.226186987436;1
18;12;79.7331809336;0.226186987436;2
18;12;82.6203840924;0.226186987436;3
18;12;88.0141378319;0.226539185872;4
18;12;96.8153566207;0.228257783022;5
18;12;109.46613577;0.242191122876;6
18;12;125.947615767;0.26581819376;7
18;12;146.027339482;0.293641870203;8
18;12;169.164223676;0.323226538827;9
18;12;194.773156842;0.353867802758;10
18;13;66.6400845577;0.220801207967;0
18;13;67.1841202024;0.221799247734;1
18;13;69.0023179025;0.224862842;2
18;13;72.4518221087;0.230634477911;3
18;13;77.9488203522;0.239569961187;4
18;13;85.9316342135;0.252195603124;5
18;13;96.5416222264;0.268534772541;6
18;13;109.653296746;0.286661038614;7
18;13;125.045710537;0.30631910182;8
18;13;142.31378249;0.326998363114;9
18;13;161.04030714;0.349063503926;10
18;14;77.7816551021;0.254793170068;0
18;14;78.3435801359;0.255868731517;1
18;14;80.1267608944;0.259095415864;2
18;14;83.2963671581;0.26447322311;3
18;14;88.0306740906;0.272002153253;4
18;14;94.5191365615;0.281682206294;5
18;14;102.762323261;0.29315486175;6
18;14;112.610510907;0.305882338897;7
18;14;123.879662605;0.319506117252;8
18;14;136.278259958;0.333667676331;9
18;14;149.517176031;0.348036144892;10
18;15;99.087340783;0.287458257796;0
18;15;99.5557892548;0.288174203601;1
18;15;101.008522167;0.290322041014;2
18;15;103.510571135;0.293901770035;3
18;15;107.120815576;0.298913390666;4
18;15;111.903288081;0.305356902904;5
18;15;117.806588064;0.312993658151;6
18;15;124.698726254;0.321465683502;7
18;15;132.442036934;0.330534330356;8
18;15;140.838752392;0.339960950113;9
18;15;149.698418241;0.34963414297;10
18;16;124.002858138;0.313518686951;0
18;16;124.328717779;0.313947728948;1
18;16;125.326351396;0.315234854939;2
18;16;127.0132572;0.317380064925;3
18;16;129.396134514;0.320383358905;4
18;16;132.483676616;0.324244736879;5
18;16;136.220325353;0.328821184848;6
18;16;140.511528932;0.334243892753;7
18;16;145.267540108;0.340107466713;8
18;16;150.368065389;0.346114054673;9
18;16;155.69992933;0.352120642632;10
18;17;149.472408253;0.335506886825;0
18;17;149.637633486;0.335734971502;1
18;17;150.139352921;0.336419225533;2
18;17;150.977575255;0.337559648918;3
18;17;152.144750474;0.339281646844;4
18;17;153.633831305;0.341432159513;5
18;17;155.410319385;0.343908507435;6
18;17;157.425397837;0.346612940034;7
18;17;159.635482903;0.349447706735;8
18;17;161.985101065;0.352315056961;9
18;17;164.423036891;0.355149823661;10
19;10;251.781029807;0.434466384267;0
19;10;249.684313613;0.434466384267;1
19;10;244.52066759;0.434466384267;2
19;10;238.875452574;0.434466384267;3
19;10;236.037603191;0.434466384267;4
19;10;239.437937248;0.434466384267;5
19;10;251.360051884;0.434466384267;6
19;10;272.67865002;0.434466384267;7
19;10;303.386160847;0.435234466754;8
19;10;342.576226005;0.446201314344;9
19;10;389.099166198;0.470049707846;10
19;11;119.168410267;0.284616133789;0
19;11;118.591671037;0.284616133789;1
19;11;117.533414996;0.284616133789;2
19;11;117.482877744;0.284616133789;3
19;11;120.30569599;0.284616133789;4
19;11;127.951153015;0.284616133789;5
19;11;141.6028816;0.284616133789;6
